         1967959 function calls (1948653 primitive calls) in 6.377 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7179    0.001    0.000    0.001    0.000 /usr/local/lib/python3.9/site-packages/numpy/lib/function_base.py:4002(_trapz_dispatcher)
        1    0.001    0.001    0.001    0.001 /Users/lm/ErwinJr2/QCLayers.py:1253(populate_material)
        2    0.001    0.001    0.001    0.001 {built-in method builtins.max}
        1    0.001    0.001    0.001    0.001 {built-in method builtins.min}
       16    0.001    0.000    0.001    0.000 /Users/lm/ErwinJr2/QCLayers.py:244(<listcomp>)
        1    0.000    0.000    0.001    0.001 /Users/lm/ErwinJr2/QCLayers.py:304(_reset_cache)
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.9/site-packages/scipy/linalg/decomp_svd.py:330(null_space)
     3570    0.001    0.000    0.001    0.000 /usr/local/lib/python3.9/site-packages/numpy/core/multiarray.py:75(empty_like)
     3572    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/scipy/linalg/decomp_svd.py:13(svd)
     3570    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:3071(_ndim_dispatcher)
        1    0.000    0.000    0.000    0.000 /Users/lm/ErwinJr2/QCLayers.py:312(reset_IFR_cache)
        1    0.000    0.000    0.000    0.000 /Users/lm/ErwinJr2/QCLayers.py:317(<listcomp>)
     1778    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       12    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:70(_wrapreduction)
        1    0.000    0.000    0.000    0.000 /Users/lm/ErwinJr2/QCLayers.py:306(<listcomp>)
        1    0.000    0.000    0.000    0.000 /Users/lm/ErwinJr2/QCLayers.py:308(<listcomp>)
        1    0.000    0.000    0.000    0.000 /Users/lm/ErwinJr2/QCLayers.py:315(<listcomp>)
        1    0.000    0.000    0.000    0.000 /Users/lm/ErwinJr2/QCLayers.py:1367(effective_ridx)
        5    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(sum)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(amax)
       13    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2105(sum)
        1    0.000    0.000    0.000    0.000 /Users/lm/ErwinJr2/OneDQuantum/band.py:25(__init__)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2589(amax)
        1    0.000    0.000    0.000    0.000 /Users/lm/ErwinJr2/OneDQuantum/band.py:86(cZBband_new)
       18    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(average)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(broadcast_to)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/numpy/lib/function_base.py:280(average)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/numpy/core/numeric.py:144(ones)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/scipy/linalg/lapack.py:982(_compute_lwork)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/numpy/lib/stride_tricks.py:141(broadcast_to)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/numpy/lib/stride_tricks.py:114(_broadcast_to)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/scipy/_lib/_util.py:216(_asarray_validated)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(cumsum)
        3    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/scipy/linalg/blas.py:382(getter)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(amin)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2714(amin)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/scipy/linalg/lapack.py:886(get_lapack_funcs)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2418(cumsum)
        1    0.000    0.000    0.000    0.000 /Users/lm/ErwinJr2/QCLayers.py:981(carrierLeak)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/scipy/linalg/blas.py:324(_get_funcs)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:39(_wrapit)
